 U U U U U U U U
 0 L L L L L L 0
 0 L L H H L L 0
 0 L L Z Z L L 0
 0 L H 0 0 H L 0
 0 L H 1 1 H L 0
 0 L H L L H L 0
 0 L H H H H L 0
 0 L H Z Z H L 0
 0 L Z 0 0 Z L 0
 0 L Z 1 1 Z L 0
 0 L Z L L Z L 0
 0 L Z H H Z L 0
 0 L Z Z Z Z L 0
 0 H 0 0 0 0 H 0
 0 H 0 1 1 0 H 0
 0 H 0 L L 0 H 0
 0 H 0 H H 0 H 0
 0 H 0 Z Z 0 H 0
 0 H 1 0 0 1 H 0
 0 H 1 1 1 1 H 0
 0 H 1 L L 1 H 0
 0 H 1 H H 1 H 0
 0 H 1 Z Z 1 H 0
 0 H L 0 0 L H 0
 0 H L 1 1 L H 0
 0 H L L L L H 0
 0 H L H H L H 0
 0 H L Z Z L H 0
 0 H H 0 0 H H 0
 0 H H 1 1 H H 0
 0 H H L L H H 0
 0 H H H H H H 0
 0 H H Z Z H H 0
 0 H Z 0 0 Z H 0
 0 H Z 1 1 Z H 0
 0 H Z L L Z H 0
 0 H Z H H Z H 0
 0 H Z Z Z Z H 0
 0 Z 0 0 0 0 Z 0
 0 Z 0 1 1 0 Z 0
 0 Z 0 L L 0 Z 0
 0 Z 0 H H 0 Z 0
 0 Z 0 Z Z 0 Z 0
 0 Z 1 0 0 1 Z 0
 0 Z 1 1 1 1 Z 0
 0 Z 1 L L 1 Z 0
 0 Z 1 H H 1 Z 0
 0 Z 1 Z Z 1 Z 0
 0 Z L 0 0 L Z 0
 0 Z L 1 1 L Z 0
 0 Z L L L L Z 0
 0 Z L H H L Z 0
 0 Z L Z Z L Z 0
 0 Z H 0 0 H Z 0
 0 Z H 1 1 H Z 0
 0 Z H L L H Z 0
 0 Z H H H H Z 0
 0 Z H Z Z H Z 0
 0 Z Z 0 0 Z Z 0
 0 Z Z 1 1 Z Z 0
 0 Z Z L L Z Z 0
 0 Z Z H H Z Z 0
 0 Z Z Z Z Z Z 0
 1 0 0 0 0 0 0 1
 1 0 0 1 1 0 0 1
 1 0 0 L L 0 0 1
 1 0 0 H H 0 0 1
 1 0 0 Z Z 0 0 1
 1 0 1 0 0 1 0 1
 1 0 1 1 1 1 0 1
 1 0 1 L L 1 0 1
 1 0 1 H H 1 0 1
 1 0 1 Z Z 1 0 1
 1 0 L 0 0 L 0 1
 1 0 L 1 1 L 0 1
 1 0 L L L L 0 1
 1 0 L H H L 0 1
 1 0 L Z Z L 0 1
 1 0 H 0 0 H 0 1
 1 0 H 1 1 H 0 1
 1 0 H L L H 0 1
 1 0 H H H H 0 1
 1 0 H Z Z H 0 1
 1 0 Z 0 0 Z 0 1
 1 0 Z 1 1 Z 0 1
 1 0 Z L L Z 0 1
 1 0 Z H H Z 0 1
 1 0 Z Z Z Z 0 1
 1 1 0 0 0 0 1 1
 1 1 0 1 1 0 1 1
 1 1 0 L L 0 1 1
 1 1 0 H H 0 1 1
 1 1 0 Z Z 0 1 1
 1 1 1 0 0 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 L L 1 1 1
 1 1 1 H H 1 1 1
 1 1 1 Z Z 1 1 1
 1 1 L 0 0 L 1 1
 1 1 L 1 1 L 1 1
 1 1 L L L L 1 1
 1 1 L H H L 1 1
 1 1 L Z Z L 1 1
 1 1 H 0 0 H 1 1
 1 1 H 1 1 H 1 1
 1 1 H L L H 1 1
 1 1 H H H H 1 1
 1 1 H Z Z H 1 1
 1 1 Z 0 0 Z 1 1
 1 1 Z 1 1 Z 1 1
 1 1 Z L L Z 1 1
 1 1 Z H H Z 1 1
 1 1 Z Z Z Z 1 1
 1 L 0 0 0 0 L 1
 1 L 0 1 1 0 L 1
 1 L 0 L L 0 L 1
 1 L 0 H H 0 L 1
 1 L 0 Z Z 0 L 1
 1 L 1 0 0 1 L 1
 1 L 1 1 1 1 L 1
 1 L 1 L L 1 L 1
 1 L 1 H H 1 L 1
 1 L 1 Z Z 1 L 1
 1 L L 0 0 L L 1
 1 L L 1 1 L L 1
 1 L L L L L L 1
 1 L L H H L L 1
 1 L L Z Z L L 1
 1 L H 0 0 H L 1
 1 L H 1 1 H L 1
 1 L H L L H L 1
 1 L H H H H L 1
 1 L H Z Z H L 1
 1 L Z 0 0 Z L 1
 1 L Z 1 1 Z L 1
 1 L Z L L Z L 1
 1 L Z H H Z L 1
 1 L Z Z Z Z L 1
 1 H 0 0 0 0 H 1
 1 H 0 1 1 0 H 1
 1 H 0 L L 0 H 1
 1 H 0 H H 0 H 1
 1 H 0 Z Z 0 H 1
 1 H 1 0 0 1 H 1
 1 H 1 1 1 1 H 1
 1 H 1 L L 1 H 1
 1 H 1 H H 1 H 1
 1 H 1 Z Z 1 H 1
 1 H L 0 0 L H 1
 1 H L 1 1 L H 1
 1 H L L L L H 1
 1 H L H H L H 1
 1 H L Z Z L H 1
 1 H H 0 0 H H 1
 1 H H 1 1 H H 1
 1 H H L L H H 1
 1 H H H H H H 1
 1 H H Z Z H H 1
 1 H Z 0 0 Z H 1
 1 H Z 1 1 Z H 1
 1 H Z L L Z H 1
 1 H Z H H Z H 1
 1 H Z Z Z Z H 1
 1 Z 0 0 0 0 Z 1
 1 Z 0 1 1 0 Z 1
 1 Z 0 L L 0 Z 1
 1 Z 0 H H 0 Z 1
 1 Z 0 Z Z 0 Z 1
 1 Z 1 0 0 1 Z 1
 1 Z 1 1 1 1 Z 1
 1 Z 1 L L 1 Z 1
 1 Z 1 H H 1 Z 1
 1 Z 1 Z Z 1 Z 1
 1 Z L 0 0 L Z 1
 1 Z L 1 1 L Z 1
 1 Z L L L L Z 1
 1 Z L H H L Z 1
 1 Z L Z Z L Z 1
 1 Z H 0 0 H Z 1
 1 Z H 1 1 H Z 1
 1 Z H L L H Z 1
 1 Z H H H H Z 1
 1 Z H Z Z H Z 1
 1 Z Z 0 0 Z Z 1
 1 Z Z 1 1 Z Z 1
 1 Z Z L L Z Z 1
 1 Z Z H H Z Z 1
 1 Z Z Z Z Z Z 1
 L 0 0 0 0 0 0 L
 L 0 0 1 1 0 0 L
 L 0 0 L L 0 0 L
 L 0 0 H H 0 0 L
 L 0 0 Z Z 0 0 L
 L 0 1 0 0 1 0 L
 L 0 1 1 1 1 0 L
 L 0 1 L L 1 0 L
 L 0 1 H H 1 0 L
 L 0 1 Z Z 1 0 L
 L 0 L 0 0 L 0 L
 L 0 L 1 1 L 0 L
 L 0 L L L L 0 L
 L 0 L H H L 0 L
 L 0 L Z Z L 0 L
 L 0 H 0 0 H 0 L
 L 0 H 1 1 H 0 L
 L 0 H L L H 0 L
 L 0 H H H H 0 L
 L 0 H Z Z H 0 L
 L 0 Z 0 0 Z 0 L
 L 0 Z 1 1 Z 0 L
 L 0 Z L L Z 0 L
 L 0 Z H H Z 0 L
 L 0 Z Z Z Z 0 L
 L 1 0 0 0 0 1 L
 L 1 0 1 1 0 1 L
 L 1 0 L L 0 1 L
 L 1 0 H H 0 1 L
 L 1 0 Z Z 0 1 L
 L 1 1 0 0 1 1 L
 L 1 1 1 1 1 1 L
 L 1 1 L L 1 1 L
 L 1 1 H H 1 1 L
 L 1 1 Z Z 1 1 L
 L 1 L 0 0 L 1 L
 L 1 L 1 1 L 1 L
 L 1 L L L L 1 L
 L 1 L H H L 1 L
 L 1 L Z Z L 1 L
 L 1 H 0 0 H 1 L
 L 1 H 1 1 H 1 L
 L 1 H L L H 1 L
 L 1 H H H H 1 L
 L 1 H Z Z H 1 L
 L 1 Z 0 0 Z 1 L
 L 1 Z 1 1 Z 1 L
 L 1 Z L L Z 1 L
 L 1 Z H H Z 1 L
 L 1 Z Z Z Z 1 L
 L L 0 0 0 0 L L
 L L 0 1 1 0 L L
 L L 0 L L 0 L L
 L L 0 H H 0 L L
 L L 0 Z Z 0 L L
 L L 1 0 0 1 L L
 L L 1 1 1 1 L L
 L L 1 L L 1 L L
 L L 1 H H 1 L L
 L L 1 Z Z 1 L L
 L L L 0 0 L L L
 L L L 1 1 L L L
 L L L L L L L L
 L L L H H L L L
 L L L Z Z L L L
 L L H 0 0 H L L
 L L H 1 1 H L L
 L L H L L H L L
 L L H H H H L L
 L L H Z Z H L L
 L L Z 0 0 Z L L
 L L Z 1 1 Z L L
 L L Z L L Z L L
 L L Z H H Z L L
 L L Z Z Z Z L L
 L H 0 0 0 0 H L
 L H 0 1 1 0 H L
 L H 0 L L 0 H L
 L H 0 H H 0 H L
 L H 0 Z Z 0 H L
 L H 1 0 0 1 H L
 L H 1 1 1 1 H L
 L H 1 L L 1 H L
 L H 1 H H 1 H L
 L H 1 Z Z 1 H L
 L H L 0 0 L H L
 L H L 1 1 L H L
 L H L L L L H L
 L H L H H L H L
 L H L Z Z L H L
 L H H 0 0 H H L
 L H H 1 1 H H L
 L H H L L H H L
 L H H H H H H L
 L H H Z Z H H L
 L H Z 0 0 Z H L
 L H Z 1 1 Z H L
 L H Z L L Z H L
 L H Z H H Z H L
 L H Z Z Z Z H L
 L Z 0 0 0 0 Z L
 L Z 0 1 1 0 Z L
 L Z 0 L L 0 Z L
 L Z 0 H H 0 Z L
 L Z 0 Z Z 0 Z L
 L Z 1 0 0 1 Z L
 L Z 1 1 1 1 Z L
 L Z 1 L L 1 Z L
 L Z 1 H H 1 Z L
 L Z 1 Z Z 1 Z L
 L Z L 0 0 L Z L
 L Z L 1 1 L Z L
 L Z L L L L Z L
 L Z L H H L Z L
 L Z L Z Z L Z L
 L Z H 0 0 H Z L
 L Z H 1 1 H Z L
 L Z H L L H Z L
 L Z H H H H Z L
 L Z H Z Z H Z L
 L Z Z 0 0 Z Z L
 L Z Z 1 1 Z Z L
 L Z Z L L Z Z L
 L Z Z H H Z Z L
 L Z Z Z Z Z Z L
 H 0 0 0 0 0 0 H
 H 0 0 1 1 0 0 H
 H 0 0 L L 0 0 H
 H 0 0 H H 0 0 H
 H 0 0 Z Z 0 0 H
 H 0 1 0 0 1 0 H
 H 0 1 1 1 1 0 H
 H 0 1 L L 1 0 H
 H 0 1 H H 1 0 H
 H 0 1 Z Z 1 0 H
 H 0 L 0 0 L 0 H
 H 0 L 1 1 L 0 H
 H 0 L L L L 0 H
 H 0 L H H L 0 H
 H 0 L Z Z L 0 H
 H 0 H 0 0 H 0 H
 H 0 H 1 1 H 0 H
 H 0 H L L H 0 H
 H 0 H H H H 0 H
 H 0 H Z Z H 0 H
 H 0 Z 0 0 Z 0 H
 H 0 Z 1 1 Z 0 H
 H 0 Z L L Z 0 H
 H 0 Z H H Z 0 H
 H 0 Z Z Z Z 0 H
 H 1 0 0 0 0 1 H
 H 1 0 1 1 0 1 H
 H 1 0 L L 0 1 H
 H 1 0 H H 0 1 H
 H 1 0 Z Z 0 1 H
 H 1 1 0 0 1 1 H
 H 1 1 1 1 1 1 H
 H 1 1 L L 1 1 H
 H 1 1 H H 1 1 H
 H 1 1 Z Z 1 1 H
 H 1 L 0 0 L 1 H
 H 1 L 1 1 L 1 H
 H 1 L L L L 1 H
 H 1 L H H L 1 H
 H 1 L Z Z L 1 H
 H 1 H 0 0 H 1 H
 H 1 H 1 1 H 1 H
 H 1 H L L H 1 H
 H 1 H H H H 1 H
 H 1 H Z Z H 1 H
 H 1 Z 0 0 Z 1 H
 H 1 Z 1 1 Z 1 H
 H 1 Z L L Z 1 H
 H 1 Z H H Z 1 H
 H 1 Z Z Z Z 1 H
 H L 0 0 0 0 L H
 H L 0 1 1 0 L H
 H L 0 L L 0 L H
 H L 0 H H 0 L H
 H L 0 Z Z 0 L H
 H L 1 0 0 1 L H
 H L 1 1 1 1 L H
 H L 1 L L 1 L H
 H L 1 H H 1 L H
 H L 1 Z Z 1 L H
 H L L 0 0 L L H
 H L L 1 1 L L H
 H L L L L L L H
 H L L H H L L H
 H L L Z Z L L H
 H L H 0 0 H L H
 H L H 1 1 H L H
 H L H L L H L H
 H L H H H H L H
 H L H Z Z H L H
 H L Z 0 0 Z L H
 H L Z 1 1 Z L H
 H L Z L L Z L H
 H L Z H H Z L H
 H L Z Z Z Z L H
 H H 0 0 0 0 H H
 H H 0 1 1 0 H H
 H H 0 L L 0 H H
 H H 0 H H 0 H H
 H H 0 Z Z 0 H H
 H H 1 0 0 1 H H
 H H 1 1 1 1 H H
 H H 1 L L 1 H H
 H H 1 H H 1 H H
 H H 1 Z Z 1 H H
 H H L 0 0 L H H
 H H L 1 1 L H H
 H H L L L L H H
 H H L H H L H H
 H H L Z Z L H H
 H H H 0 0 H H H
 H H H 1 1 H H H
 H H H L L H H H
 H H H H H H H H
 H H H Z Z H H H
 H H Z 0 0 Z H H
 H H Z 1 1 Z H H
 H H Z L L Z H H
 H H Z H H Z H H
 H H Z Z Z Z H H
 H Z 0 0 0 0 Z H
 H Z 0 1 1 0 Z H
 H Z 0 L L 0 Z H
 H Z 0 H H 0 Z H
 H Z 0 Z Z 0 Z H
 H Z 1 0 0 1 Z H
 H Z 1 1 1 1 Z H
 H Z 1 L L 1 Z H
 H Z 1 H H 1 Z H
 H Z 1 Z Z 1 Z H
 H Z L 0 0 L Z H
 H Z L 1 1 L Z H
 H Z L L L L Z H
 H Z L H H L Z H
 H Z L Z Z L Z H
 H Z H 0 0 H Z H
 H Z H 1 1 H Z H
 H Z H L L H Z H
 H Z H H H H Z H
 H Z H Z Z H Z H
 H Z Z 0 0 Z Z H
 H Z Z 1 1 Z Z H
 H Z Z L L Z Z H
 H Z Z H H Z Z H
 H Z Z Z Z Z Z H
 Z 0 0 0 0 0 0 Z
 Z 0 0 1 1 0 0 Z
 Z 0 0 L L 0 0 Z
 Z 0 0 H H 0 0 Z
 Z 0 0 Z Z 0 0 Z
 Z 0 1 0 0 1 0 Z
 Z 0 1 1 1 1 0 Z
 Z 0 1 L L 1 0 Z
 Z 0 1 H H 1 0 Z
 Z 0 1 Z Z 1 0 Z
 Z 0 L 0 0 L 0 Z
 Z 0 L 1 1 L 0 Z
 Z 0 L L L L 0 Z
 Z 0 L H H L 0 Z
 Z 0 L Z Z L 0 Z
 Z 0 H 0 0 H 0 Z
 Z 0 H 1 1 H 0 Z
 Z 0 H L L H 0 Z
 Z 0 H H H H 0 Z
 Z 0 H Z Z H 0 Z
 Z 0 Z 0 0 Z 0 Z
 Z 0 Z 1 1 Z 0 Z
 Z 0 Z L L Z 0 Z
 Z 0 Z H H Z 0 Z
 Z 0 Z Z Z Z 0 Z
 Z 1 0 0 0 0 1 Z
 Z 1 0 1 1 0 1 Z
 Z 1 0 L L 0 1 Z
 Z 1 0 H H 0 1 Z
 Z 1 0 Z Z 0 1 Z
 Z 1 1 0 0 1 1 Z
 Z 1 1 1 1 1 1 Z
 Z 1 1 L L 1 1 Z
 Z 1 1 H H 1 1 Z
 Z 1 1 Z Z 1 1 Z
 Z 1 L 0 0 L 1 Z
 Z 1 L 1 1 L 1 Z
 Z 1 L L L L 1 Z
 Z 1 L H H L 1 Z
 Z 1 L Z Z L 1 Z
 Z 1 H 0 0 H 1 Z
 Z 1 H 1 1 H 1 Z
 Z 1 H L L H 1 Z
 Z 1 H H H H 1 Z
 Z 1 H Z Z H 1 Z
 Z 1 Z 0 0 Z 1 Z
 Z 1 Z 1 1 Z 1 Z
 Z 1 Z L L Z 1 Z
 Z 1 Z H H Z 1 Z
 Z 1 Z Z Z Z 1 Z
 Z L 0 0 0 0 L Z
 Z L 0 1 1 0 L Z
 Z L 0 L L 0 L Z
 Z L 0 H H 0 L Z
 Z L 0 Z Z 0 L Z
 Z L 1 0 0 1 L Z
 Z L 1 1 1 1 L Z
 Z L 1 L L 1 L Z
 Z L 1 H H 1 L Z
 Z L 1 Z Z 1 L Z
 Z L L 0 0 L L Z
 Z L L 1 1 L L Z
 Z L L L L L L Z
 Z L L H H L L Z
 Z L L Z Z L L Z
 Z L H 0 0 H L Z
 Z L H 1 1 H L Z
 Z L H L L H L Z
 Z L H H H H L Z
 Z L H Z Z H L Z
 Z L Z 0 0 Z L Z
 Z L Z 1 1 Z L Z
 Z L Z L L Z L Z
 Z L Z H H Z L Z
 Z L Z Z Z Z L Z
 Z H 0 0 0 0 H Z
 Z H 0 1 1 0 H Z
 Z H 0 L L 0 H Z
 Z H 0 H H 0 H Z
 Z H 0 Z Z 0 H Z
 Z H 1 0 0 1 H Z
 Z H 1 1 1 1 H Z
 Z H 1 L L 1 H Z
 Z H 1 H H 1 H Z
 Z H 1 Z Z 1 H Z
 Z H L 0 0 L H Z
 Z H L 1 1 L H Z
 Z H L L L L H Z
 Z H L H H L H Z
 Z H L Z Z L H Z
 Z H H 0 0 H H Z
 Z H H 1 1 H H Z
 Z H H L L H H Z
 Z H H H H H H Z
 Z H H Z Z H H Z
 Z H Z 0 0 Z H Z
 Z H Z 1 1 Z H Z
 Z H Z L L Z H Z
 Z H Z H H Z H Z
 Z H Z Z Z Z H Z
 Z Z 0 0 0 0 Z Z
 Z Z 0 1 1 0 Z Z
 Z Z 0 L L 0 Z Z
 Z Z 0 H H 0 Z Z
 Z Z 0 Z Z 0 Z Z
 Z Z 1 0 0 1 Z Z
 Z Z 1 1 1 1 Z Z
 Z Z 1 L L 1 Z Z
 Z Z 1 H H 1 Z Z
 Z Z 1 Z Z 1 Z Z
 Z Z L 0 0 L Z Z
 Z Z L 1 1 L Z Z
 Z Z L L L L Z Z
 Z Z L H H L Z Z
 Z Z L Z Z L Z Z
 Z Z H 0 0 H Z Z
 Z Z H 1 1 H Z Z
 Z Z H L L H Z Z
 Z Z H H H H Z Z
 Z Z H Z Z H Z Z
 Z Z Z 0 0 Z Z Z
 Z Z Z 1 1 Z Z Z
 Z Z Z L L Z Z Z
 Z Z Z H H Z Z Z
 Z Z Z Z Z Z Z Z
