           0 ps U U UUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUU
     2550000 ps 1 0 01111110001110000000000011001 00000000000000000
     2600000 ps 0 0 01111110001110000000000011010 00000000000000000
     2650000 ps 1 0 01111110001110000000000011010 00000000000000000
     2700000 ps 0 0 01111110001110000000000011011 00000000000000000
     2750000 ps 1 0 01111110001110000000000011011 00000000000000000
     2800000 ps 0 0 01111110001110000000000011100 00000000000000000
     2850000 ps 1 0 01111110001110000000000011100 00000000000000000
     2900000 ps 0 0 01111110001110000000000011101 00000000000000000
     2950000 ps 1 0 01111110001110000000000011101 00000000000000000
     3000000 ps 0 0 01111110001110000000000011110 00000000000000000
     3050000 ps 1 0 01111110001110000000000011110 00000000000000000
     3100000 ps 0 0 01111110001110000000000011111 00000000000000000
     3150000 ps 1 0 01111110001110000000000011111 00000000000000000
     3200000 ps 0 0 01111110001110000000000100000 00000000000000000
     3250000 ps 1 0 01111110001110000000000100000 00000000000000000
     3300000 ps 0 0 01111110001110000000000100001 00000000000000000
     3350000 ps 1 0 01111110001110000000000100001 00000000000000000
     3400000 ps 0 0 01111110001110000000000100010 00000000000000000
     3450000 ps 1 0 01111110001110000000000100010 00000000000000000
     3500000 ps 0 0 01111110001110000000000100011 00000000000000000
     3550000 ps 1 0 01111110001110000000000100011 00000000000000000
     3600000 ps 0 0 01111110001110000000000100100 00000000000000000
     3650000 ps 1 0 01111110001110000000000100100 00000000000000000
     3700000 ps 0 0 01111110001110000000000100101 00000000000000000
     3750000 ps 1 0 01111110001110000000000100101 00000000000000000
     3800000 ps 0 0 01111110001110000000000100110 00000000000000000
     3850000 ps 1 0 01111110001110000000000100110 00000000000000000
     3900000 ps 0 0 01111110001110000000000100111 00000000000000000
     3950000 ps 1 0 01111110001110000000000100111 00000000000000000
     4000000 ps 0 0 01111110001110000000000101000 00000000000000000
     4050000 ps 1 0 01111110001110000000000101000 00000000000000000
     4100000 ps 0 0 01111110001110000000000101001 00000000000000000
     4150000 ps 1 0 01111110001110000000000101001 00000000000000000
     4200000 ps 0 0 01111110001110000000000101010 00000000000000000
     4250000 ps 1 0 01111110001110000000000101010 00000000000000000
     4300000 ps 0 0 01111110001110000000000101011 00000000000000000
     4350000 ps 1 0 01111110001110000000000101011 00000000000000000
     4400000 ps 0 0 01111110001110000000000101100 00000000000000000
     4450000 ps 1 0 01111110001110000000000101100 00000000000000000
     4500000 ps 0 0 01111110001110000000000101101 00000000000000000
     4550000 ps 1 0 01111110001110000000000101101 00000000000000000
     4550000 ps 1 0 01111110001110000000000101101 00000000010111011
     4600000 ps 0 0 01111110001110000000000101110 00000000010111011
     4650000 ps 1 0 01111110001110000000000101110 00000000010111011
     4700000 ps 0 0 01111110001110000000000101111 00000000010111011
     4750000 ps 1 0 01111110001110000000000101111 00000000010111011
     4800000 ps 0 0 01111110001110000000000110000 00000000010111011
     4850000 ps 1 0 01111110001110000000000110000 00000000010111011
     4900000 ps 0 0 01111110001110000000000110001 00000000010111011
     4950000 ps 1 0 01111110001110000000000110001 00000000010111011
     5000000 ps 0 0 01111110001110000000000110010 00000000010111011
     5050000 ps 1 0 01111110001110000000000110010 00000000010111011
     5100000 ps 0 0 01111110001110000000000110011 00000000010111011
     5150000 ps 1 0 01111110001110000000000110011 00000000010111011
     5200000 ps 0 0 01111110001110000000000110100 00000000010111011
     5250000 ps 1 0 01111110001110000000000110100 00000000010111011
     5300000 ps 0 0 01111110001110000000000110101 00000000010111011
     5350000 ps 1 0 01111110001110000000000110101 00000000010111011
     5400000 ps 0 0 01111110001110000000000110110 00000000010111011
     5450000 ps 1 0 01111110001110000000000110110 00000000010111011
     5500000 ps 0 0 01111110001110000000000110111 00000000010111011
     5550000 ps 1 0 01111110001110000000000110111 00000000010111011
     5600000 ps 0 0 01111110001110000000000111000 00000000010111011
     5650000 ps 1 0 01111110001110000000000111000 00000000010111011
     5700000 ps 0 0 01111110001110000000000111001 00000000010111011
     5750000 ps 1 0 01111110001110000000000111001 00000000010111011
     5800000 ps 0 0 01111110001110000000000111010 00000000010111011
     5850000 ps 1 0 01111110001110000000000111010 00000000010111011
     5900000 ps 0 0 01111110001110000000000111011 00000000010111011
     5950000 ps 1 0 01111110001110000000000111011 00000000010111011
     6000000 ps 0 0 01000100010000000000000111100 00000000010111011
     6050000 ps 1 0 01000100010000000000000111100 00000000010111011
     6075000 ps 1 0 11000100010000000000000111100 00000000010111011
     6100000 ps 0 0 11000100010000000000000111101 00000000010111011
     6150000 ps 1 0 11000100010000000000000111101 00000000010111011
     6200000 ps 0 0 11000100010000000000000111110 00000000010111011
     6250000 ps 1 0 11000100010000000000000111110 00000000010111011
     6300000 ps 0 0 11000100010000000000000111111 00000000010111011
     6350000 ps 1 0 11000100010000000000000111111 00000000010111011
     6400000 ps 0 0 11000100010000000000001000000 00000000010111011
     6450000 ps 1 0 11000100010000000000001000000 00000000010111011
     6500000 ps 0 0 11000100010000000000001000001 00000000010111011
     6550000 ps 1 0 11000100010000000000001000001 00000000010111011
     6600000 ps 0 0 11000100010000000000001000010 00000000010111011
     6650000 ps 1 0 11000100010000000000001000010 00000000010111011
     6700000 ps 0 0 11000100010000000000001000011 00000000010111011
     6750000 ps 1 0 11000100010000000000001000011 00000000010111011
     6800000 ps 0 0 11000100010000000000001000100 00000000010111011
     6850000 ps 1 0 11000100010000000000001000100 00000000010111011
     6900000 ps 0 0 11000100010000000000001000101 00000000010111011
     6950000 ps 1 0 11000100010000000000001000101 00000000010111011
     7000000 ps 0 0 01000100010000000000001000110 00000000010111011
     7050000 ps 1 0 01000100010000000000001000110 00000000010111011
     7100000 ps 0 0 01000100010000000000001000111 00000000010111011
     7150000 ps 1 0 01000100010000000000001000111 00000000010111011
     7200000 ps 0 0 01000100010000000000001001000 00000000010111011
     7250000 ps 1 0 01000100010000000000001001000 00000000010111011
     7300000 ps 0 0 01000100010000000000001001001 00000000010111011
     7350000 ps 1 0 01000100010000000000001001001 00000000010111011
     7400000 ps 0 0 01000100010000000000001001010 00000000010111011
     7450000 ps 1 0 01000100010000000000001001010 00000000010111011
     7500000 ps 0 0 01000100010000000000001001011 00000000010111011
     7550000 ps 1 0 01000100010000000000001001011 00000000010111011
     7600000 ps 0 0 01000100010000000000001001100 00000000010111011
     7650000 ps 1 0 01000100010000000000001001100 00000000010111011
     7700000 ps 0 0 01000100010000000000001001101 00000000010111011
     7750000 ps 1 0 01000100010000000000001001101 00000000010111011
     7800000 ps 0 0 01000100010000000000001001110 00000000010111011
     7850000 ps 1 0 01000100010000000000001001110 00000000010111011
     7900000 ps 0 0 01000100010000000000001001111 00000000010111011
     7950000 ps 1 0 01000100010000000000001001111 00000000010111011
     8000000 ps 0 0 01000100010000000000001010000 00000000010111011
     8050000 ps 1 0 01000100010000000000001010000 00000000010111011
     8100000 ps 0 0 01000100010000000000001010001 00000000010111011
     8150000 ps 1 0 01000100010000000000001010001 00000000010111011
     8200000 ps 0 0 01000100010000000000001010010 00000000010111011
     8250000 ps 1 0 01000100010000000000001010010 00000000010111011
     8300000 ps 0 0 01000100010000000000001010011 00000000010111011
     8350000 ps 1 0 01000100010000000000001010011 00000000010111011
     8400000 ps 0 0 01000100010000000000001010100 00000000010111011
     8450000 ps 1 0 01000100010000000000001010100 00000000010111011
     8500000 ps 0 0 01000100010000000000001010101 00000000010111011
     8550000 ps 1 0 01000100010000000000001010101 00000000010111011
     8600000 ps 0 0 01000100010000000000001010110 00000000010111011
     8650000 ps 1 0 01000100010000000000001010110 00000000010111011
     8700000 ps 0 0 01000100010000000000001010111 00000000010111011
     8750000 ps 1 0 01000100010000000000001010111 00000000010111011
     8800000 ps 0 0 01000100010000000000001011000 00000000010111011
     8850000 ps 1 0 01000100010000000000001011000 00000000010111011
     8900000 ps 0 0 01000100010000000000001011001 00000000010111011
     8950000 ps 1 0 01000100010000000000001011001 00000000010111011
     9000000 ps 0 0 01000100010000000000001011010 00000000010111011
     9050000 ps 1 0 01000100010000000000001011010 00000000010111011
     9100000 ps 0 0 01000100010000000000001011011 00000000010111011
     9150000 ps 1 0 01000100010000000000001011011 00000000010111011
     9200000 ps 0 0 01000100010000000000001011100 00000000010111011
     9250000 ps 1 0 01000100010000000000001011100 00000000010111011
     9300000 ps 0 0 01000100010000000000001011101 00000000010111011
     9350000 ps 1 0 01000100010000000000001011101 00000000010111011
     9350000 ps 1 0 01000100010000000000001011101 00000001010001111
     9400000 ps 0 0 01000100010000000000001011110 00000001010001111
     9450000 ps 1 0 01000100010000000000001011110 00000001010001111
     9500000 ps 0 0 01000100010000000000001011111 00000001010001111
     9550000 ps 1 0 01000100010000000000001011111 00000001010001111
     9600000 ps 0 0 01000100010000000000001100000 00000001010001111
     9650000 ps 1 0 01000100010000000000001100000 00000001010001111
     9700000 ps 0 0 01000100010000000000001100001 00000001010001111
     9750000 ps 1 0 01000100010000000000001100001 00000001010001111
     9800000 ps 0 0 01000100010000000000001100010 00000001010001111
     9850000 ps 1 0 01000100010000000000001100010 00000001010001111
     9900000 ps 0 0 01000100010000000000001100011 00000001010001111
     9950000 ps 1 0 01000100010000000000001100011 00000001010001111
    10000000 ps 0 0 01000100010000000000001100100 00000001010001111
    10050000 ps 1 0 01000100010000000000001100100 00000001010001111
    10100000 ps 0 0 01000100010000000000001100101 00000001010001111
    10150000 ps 1 0 01000100010000000000001100101 00000001010001111
    10200000 ps 0 0 01000100010000000000001100110 00000001010001111
    10250000 ps 1 0 01000100010000000000001100110 00000001010001111
    10300000 ps 0 0 01000100010000000000001100111 00000001010001111
    10350000 ps 1 0 01000100010000000000001100111 00000001010001111
    10400000 ps 0 0 01000100010000000000001101000 00000001010001111
    10450000 ps 1 0 01000100010000000000001101000 00000001010001111
    10500000 ps 0 0 01000100010000000000001101001 00000001010001111
    10550000 ps 1 0 01000100010000000000001101001 00000001010001111
    10600000 ps 0 0 01000100010000000000001101010 00000001010001111
    10650000 ps 1 0 01000100010000000000001101010 00000001010001111
    10700000 ps 0 0 01000100010000000000001101011 00000001010001111
    10750000 ps 1 0 01000100010000000000001101011 00000001010001111
    10800000 ps 0 0 01000100010000000000001101100 00000001010001111
    10850000 ps 1 0 01000100010000000000001101100 00000001010001111
    10900000 ps 0 0 01000100010000000000001101101 00000001010001111
    10950000 ps 1 0 01000100010000000000001101101 00000001010001111
    11000000 ps 0 0 01000100010000000000001101110 00000001010001111
