           0 ps U U U UUUUUUUUUUUUUUUUUUUUUUUUUUUUU
     8300000 ps 0 1 1 11000000100000010000001000000
     8350000 ps 1 1 1 11000000100000010000001000000
     8400000 ps 0 1 1 11000000100000010000001000000
     8450000 ps 1 1 1 11000000100000010000001000000
     8500000 ps 0 1 1 11000000100000010000001000000
     8550000 ps 1 1 1 11000000100000010000001000000
     8600000 ps 0 1 1 11000000100000010000001000000
     8650000 ps 1 1 1 11000000100000010000001000000
     8700000 ps 0 1 1 11000000100000010000001000000
     8750000 ps 1 1 1 11000000100000010000001000000
     8800000 ps 0 1 1 11000000100000010000001000000
     8850000 ps 1 1 1 11000000100000010000001000000
     8900000 ps 0 1 1 11000000100000010000001000000
     8950000 ps 1 1 1 11000000100000010000001000000
     9000000 ps 0 1 1 11000000100000010000001000000
     9050000 ps 1 1 1 11000000100000010000001000000
     9100000 ps 0 1 1 11000000100000010000001000000
     9150000 ps 1 1 1 11000000100000010000001000000
     9200000 ps 0 1 1 11000000100000010000001000000
     9250000 ps 1 1 1 11000000100000010000001000000
     9300000 ps 0 1 1 11000000100000010000001000000
     9350000 ps 1 1 1 11000000100000010000001000000
     9400000 ps 0 1 1 11000000100000010000001000000
     9450000 ps 1 1 1 11000000100000010000001000000
     9500000 ps 0 1 1 11000000100000010000001000000
     9550000 ps 1 1 1 11000000100000010000001000000
     9600000 ps 0 1 1 11000000100000010000001000000
     9650000 ps 1 1 1 11000000100000010000001000000
     9700000 ps 0 1 1 11000000100000010000001000000
     9750000 ps 1 1 1 11000000100000010000001000000
     9800000 ps 0 1 1 11000000100000010000001000000
     9850000 ps 1 1 1 11000000100000010000001000000
     9900000 ps 0 1 1 11000000100000010000001000000
     9950000 ps 1 1 1 11000000100000010000001000000
    10000000 ps 0 0 1 11000000100000010000001000000
    10050000 ps 1 0 1 11000000100000010000001000000
    10100000 ps 0 0 1 11000000100000010000001000000
    10150000 ps 1 0 1 11000000100000010000001000000
    10200000 ps 0 0 1 11000000100000010000001000000
    10250000 ps 1 0 1 11000000100000010000001000000
    10300000 ps 0 0 1 11000000100000010000001000000
    10350000 ps 1 0 1 11000000100000010000001000000
    10400000 ps 0 0 1 11000000100000010000001000000
    10450000 ps 1 0 1 11000000100000010000001000000
    10500000 ps 0 0 1 11000000100000010000001000000
    10550000 ps 1 0 1 11000000100000010000001000000
    10600000 ps 0 0 1 11000000100000010000001000000
    10650000 ps 1 0 1 11000000100000010000001000000
    10700000 ps 0 0 1 11000000100000010000001000000
    10750000 ps 1 0 1 11000000100000010000001000000
    10800000 ps 0 0 1 11000000100000010000001000000
    10850000 ps 1 0 1 11000000100000010000001000000
    10900000 ps 0 0 1 11000000100000010000001000000
    10950000 ps 1 0 1 11000000100000010000001000000
    11000000 ps 0 0 1 11000000100000010000001000000
    11050000 ps 1 0 1 11000000100000010000001000000
    11100000 ps 0 0 1 11000000100000010000001000000
    11150000 ps 1 0 1 11000000100000010000001000000
    11200000 ps 0 0 1 11000000100000010000001000000
    11250000 ps 1 0 1 11000000100000010000001000000
    11300000 ps 0 0 1 11000000100000010000001000000
    11350000 ps 1 0 1 11000000100000010000001000000
    11400000 ps 0 0 1 11000000100000010000001000000
    11450000 ps 1 0 1 11000000100000010000001000000
    11500000 ps 0 0 1 11000000100000010000001000000
    11550000 ps 1 0 1 11000000100000010000001000000
    11600000 ps 0 0 1 11000000100000010000001000000
    11650000 ps 1 0 1 11000000100000010000001000000
    11700000 ps 0 0 1 11000000100000010000001000000
    11750000 ps 1 0 1 11000000100000010000001000000
    11800000 ps 0 0 1 11000000100000010000001000000
    11850000 ps 1 0 1 11000000100000010000001000000
    11900000 ps 0 0 1 11000000100000010000001000000
    11950000 ps 1 0 1 11000000100000010000001000000
    12000000 ps 0 0 1 11000000100000010000001000000
    12050000 ps 1 0 1 11000000100000010000001000000
    12100000 ps 0 0 1 11000000100000010000001000000
    12150000 ps 1 0 1 11000000100000010000001000000
    12200000 ps 0 0 0 11000000100000010000001000000
    12250000 ps 1 0 0 11000000100000010000001000000
    12300000 ps 0 0 0 11000000100000010000001000000
    12350000 ps 1 0 0 11000000100000010000001000000
    12400000 ps 0 0 0 11000000100000010000001000000
    12450000 ps 1 0 0 11000000100000010000001000000
    12500000 ps 0 0 0 11000000100000010000001000000
    12550000 ps 1 0 0 11000000100000010000001000000
    12600000 ps 0 0 0 11000000100000010000001000000
    12650000 ps 1 0 0 11000000100000010000001000000
    12700000 ps 0 0 0 11000000100000010000001000000
    12750000 ps 1 0 0 11000000100000010000001000000
    12800000 ps 0 0 0 11000000100000010000001000000
    12850000 ps 1 0 0 11000000100000010000001000000
    12900000 ps 0 0 0 11000000100000010000001000000
    12950000 ps 1 0 0 11000000100000010000001000000
    13000000 ps 0 0 0 11000000100000010000001000000
    13050000 ps 1 0 0 11000000100000010000001000000
    13100000 ps 0 0 0 11000000100000010000001000000
    13150000 ps 1 0 0 11000000100000010000001000000
    13200000 ps 0 0 0 11000000100000010000001000000
    13250000 ps 1 0 0 11000000100000010000001000000
    13300000 ps 0 0 0 11000000100000010000001000000
    13350000 ps 1 0 0 11000000100000010000001000000
    13400000 ps 0 0 0 11000000100000010000001000000
    13450000 ps 1 0 0 11000000100000010000001000000
    13500000 ps 0 0 0 11000000100000010000001000000
    13550000 ps 1 0 0 11000000100000010000001000000
    13600000 ps 0 0 0 11000000100000010000001000000
    13650000 ps 1 0 0 11000000100000010000001000000
    13700000 ps 0 0 0 11000000100000010000001000000
    13750000 ps 1 0 0 11000000100000010000001000000
    13800000 ps 0 0 0 11000000100000010000001000000
    13850000 ps 1 0 0 11000000100000010000001000000
    13900000 ps 0 0 0 11000000100000010000001000000
    13950000 ps 1 0 0 11000000100000010000001000000
    14000000 ps 0 0 0 11000000100000010000001000000
    14050000 ps 1 0 0 11000000100000010000001000000
    14100000 ps 0 0 0 11000000100000010000001000000
    14150000 ps 1 0 0 11000000100000010000001000000
    14200000 ps 0 0 0 11000000100000010000001000000
    14250000 ps 1 0 0 11000000100000010000001000000
    14300000 ps 0 0 0 11000000100000010000001000000
    14350000 ps 1 0 0 11000000100000010000001000000
    14400000 ps 0 0 0 11000000100000010000001000000
    14450000 ps 1 0 0 11000000100000010000001000000
    14500000 ps 0 0 0 11000000100000010000001000000
    14550000 ps 1 0 0 11000000100000010000001000000
    14600000 ps 0 0 0 11000000100000010000001000000
    14650000 ps 1 0 0 11000000100000010000001000000
    14700000 ps 0 0 0 11000000100000010000001000000
    14750000 ps 1 0 0 11000000100000010000001000000
    14800000 ps 0 0 0 11000000100000010000001000000
    14850000 ps 1 0 0 11000000100000010000001000000
    14900000 ps 0 0 0 11000000100000010000001000000
    14950000 ps 1 0 0 11000000100000010000001000000
    15000000 ps 0 1 0 11000000100000010000001000000
    15050000 ps 1 1 0 11000000100000010000001111001
    15100000 ps 0 1 0 11000000100000010000001111001
    15150000 ps 1 1 0 11000000100000010000000100100
    15200000 ps 0 1 0 11000000100000010000000100100
    15250000 ps 1 1 0 11000000100000010000000110000
    15300000 ps 0 1 0 11000000100000010000000110000
    15350000 ps 1 1 0 11000000100000010000000011001
    15400000 ps 0 1 0 11000000100000010000000011001
    15450000 ps 1 1 0 11000000100000010000000010010
    15500000 ps 0 1 0 11000000100000010000000010010
    15550000 ps 1 1 0 11000000100000010000000000010
    15600000 ps 0 1 0 11000000100000010000000000010
    15650000 ps 1 1 0 11000000100000010000001111000
    15700000 ps 0 1 0 11000000100000010000001111000
    15750000 ps 1 1 0 11000000100000010000000000000
    15800000 ps 0 1 0 11000000100000010000000000000
    15850000 ps 1 1 0 11000000100000010000000010000
    15900000 ps 0 1 0 11000000100000010000000010000
    15950000 ps 1 1 0 11000000100000011110011000000
    16000000 ps 0 1 0 11000000100000011110011000000
    16050000 ps 1 1 0 11000000100000011110011111001
    16100000 ps 0 1 0 11000000100000011110011111001
    16150000 ps 1 1 0 11000000100000011110010100100
    16200000 ps 0 1 0 11000000100000011110010100100
    16250000 ps 1 1 0 11000000100000011110010110000
    16300000 ps 0 1 0 11000000100000011110010110000
    16350000 ps 1 1 0 11000000100000011110010011001
    16400000 ps 0 1 0 11000000100000011110010011001
    16450000 ps 1 1 0 11000000100000011110010010010
    16500000 ps 0 1 0 11000000100000011110010010010
    16550000 ps 1 1 0 11000000100000011110010000010
    16600000 ps 0 1 0 11000000100000011110010000010
    16650000 ps 1 1 0 11000000100000011110011111000
    16700000 ps 0 1 0 11000000100000011110011111000
    16750000 ps 1 1 0 11000000100000011110010000000
    16800000 ps 0 1 0 11000000100000011110010000000
    16850000 ps 1 1 0 11000000100000011110010010000
    16900000 ps 0 1 0 11000000100000011110010010000
    16950000 ps 1 1 0 11000000100000001001001000000
    17000000 ps 0 1 0 11000000100000001001001000000
    17050000 ps 1 1 0 11000000100000001001001111001
    17100000 ps 0 1 0 11000000100000001001001111001
    17150000 ps 1 1 0 11000000100000001001000100100
    17200000 ps 0 1 0 11000000100000001001000100100
    17250000 ps 1 1 0 11000000100000001001000110000
    17300000 ps 0 1 0 11000000100000001001000110000
    17350000 ps 1 1 0 11000000100000001001000011001
    17400000 ps 0 1 0 11000000100000001001000011001
    17450000 ps 1 1 0 11000000100000001001000010010
    17500000 ps 0 1 0 11000000100000001001000010010
    17550000 ps 1 1 0 11000000100000001001000000010
    17600000 ps 0 1 0 11000000100000001001000000010
    17650000 ps 1 1 0 11000000100000001001001111000
    17700000 ps 0 1 0 11000000100000001001001111000
    17750000 ps 1 1 0 11000000100000001001000000000
    17800000 ps 0 1 0 11000000100000001001000000000
    17850000 ps 1 1 0 11000000100000001001000010000
    17900000 ps 0 1 0 11000000100000001001000010000
    17950000 ps 1 1 0 11000000100000001100001000000
    18000000 ps 0 1 0 11000000100000001100001000000
    18050000 ps 1 1 0 11000000100000001100001111001
    18100000 ps 0 1 0 11000000100000001100001111001
    18150000 ps 1 1 0 11000000100000001100000100100
    18200000 ps 0 1 0 11000000100000001100000100100
    18250000 ps 1 1 0 11000000100000001100000110000
    18300000 ps 0 1 0 11000000100000001100000110000
    18350000 ps 1 1 0 11000000100000001100000011001
    18400000 ps 0 1 0 11000000100000001100000011001
    18450000 ps 1 1 0 11000000100000001100000010010
    18500000 ps 0 1 0 11000000100000001100000010010
    18550000 ps 1 1 0 11000000100000001100000000010
    18600000 ps 0 1 0 11000000100000001100000000010
    18650000 ps 1 1 0 11000000100000001100001111000
    18700000 ps 0 1 0 11000000100000001100001111000
    18750000 ps 1 1 0 11000000100000001100000000000
    18800000 ps 0 1 0 11000000100000001100000000000
    18850000 ps 1 1 0 11000000100000001100000010000
    18900000 ps 0 1 0 11000000100000001100000010000
    18950000 ps 1 1 0 11000000100000000110011000000
    19000000 ps 0 1 0 11000000100000000110011000000
    19050000 ps 1 1 0 11000000100000000110011111001
    19100000 ps 0 1 0 11000000100000000110011111001
    19150000 ps 1 1 0 11000000100000000110010100100
    19200000 ps 0 1 0 11000000100000000110010100100
    19250000 ps 1 1 0 11000000100000000110010110000
    19300000 ps 0 1 0 11000000100000000110010110000
    19350000 ps 1 1 0 11000000100000000110010011001
    19400000 ps 0 1 0 11000000100000000110010011001
    19450000 ps 1 1 0 11000000100000000110010010010
    19500000 ps 0 1 0 11000000100000000110010010010
    19550000 ps 1 1 0 11000000100000000110010000010
    19600000 ps 0 1 0 11000000100000000110010000010
    19650000 ps 1 1 0 11000000100000000110011111000
    19700000 ps 0 1 0 11000000100000000110011111000
    19750000 ps 1 1 0 11000000100000000110010000000
    19800000 ps 0 1 0 11000000100000000110010000000
    19850000 ps 1 1 0 11000000100000000110010010000
    19900000 ps 0 1 0 11000000100000000110010010000
    19950000 ps 1 1 0 11000000100000000100101000000
    20000000 ps 0 0 0 11000000100000000100101000000
    20050000 ps 1 0 0 11000000100000000100101111001
    20100000 ps 0 0 0 11000000100000000100101111001
    20150000 ps 1 0 0 11000000100000000100100100100
    20200000 ps 0 0 0 11000000100000000100100100100
    20250000 ps 1 0 0 11000000100000000100100110000
    20300000 ps 0 0 0 11000000100000000100100110000
    20350000 ps 1 0 0 11000000100000000100100011001
    20400000 ps 0 0 0 11000000100000000100100011001
    20450000 ps 1 0 0 11000000100000000100100010010
    20500000 ps 0 0 0 11000000100000000100100010010
    20550000 ps 1 0 0 11000000100000000100100000010
    20600000 ps 0 0 0 11000000100000000100100000010
    20650000 ps 1 0 0 11000000100000000100101111000
    20700000 ps 0 0 0 11000000100000000100101111000
    20750000 ps 1 0 0 11000000100000000100100000000
    20800000 ps 0 0 0 11000000100000000100100000000
    20850000 ps 1 0 0 11000000100000000100100010000
    20900000 ps 0 0 0 11000000100000000100100010000
    20950000 ps 1 0 0 11000000100000000000101000000
    21000000 ps 0 0 0 11000000100000000000101000000
    21050000 ps 1 0 0 11000000100000000000101111001
    21100000 ps 0 0 0 11000000100000000000101111001
    21150000 ps 1 0 0 11000000100000000000100100100
    21200000 ps 0 0 0 11000000100000000000100100100
    21250000 ps 1 0 0 11000000100000000000100110000
    21300000 ps 0 0 0 11000000100000000000100110000
    21350000 ps 1 0 0 11000000100000000000100011001
    21400000 ps 0 0 0 11000000100000000000100011001
    21450000 ps 1 0 0 11000000100000000000100010010
    21500000 ps 0 0 0 11000000100000000000100010010
    21550000 ps 1 0 0 11000000100000000000100000010
    21600000 ps 0 0 0 11000000100000000000100000010
    21650000 ps 1 0 0 11000000100000000000101111000
    21700000 ps 0 0 0 11000000100000000000101111000
    21750000 ps 1 0 0 11000000100000000000100000000
    21800000 ps 0 0 0 11000000100000000000100000000
    21850000 ps 1 0 0 11000000100000000000100010000
    21900000 ps 0 0 0 11000000100000000000100010000
    21950000 ps 1 0 0 11000000100000011110001000000
    22000000 ps 0 0 0 11000000100000011110001000000
    22050000 ps 1 0 0 11000000100000011110001111001
    22100000 ps 0 0 0 11000000100000011110001111001
    22150000 ps 1 0 0 11000000100000011110000100100
    22200000 ps 0 0 0 11000000100000011110000100100
    22250000 ps 1 0 0 11000000100000011110000110000
    22300000 ps 0 0 0 11000000100000011110000110000
    22350000 ps 1 0 0 11000000100000011110000011001
    22400000 ps 0 0 0 11000000100000011110000011001
    22450000 ps 1 0 0 11000000100000011110000010010
    22500000 ps 0 0 0 11000000100000011110000010010
    22550000 ps 1 0 0 11000000100000011110000000010
    22600000 ps 0 0 0 11000000100000011110000000010
    22650000 ps 1 0 0 11000000100000011110001111000
    22700000 ps 0 0 0 11000000100000011110001111000
    22750000 ps 1 0 0 11000000100000011110000000000
    22800000 ps 0 0 0 11000000100000011110000000000
    22850000 ps 1 0 0 11000000100000011110000010000
    22900000 ps 0 0 0 11000000100000011110000010000
    22950000 ps 1 0 0 11000000100000000000001000000
    23000000 ps 0 0 0 11000000100000000000001000000
    23050000 ps 1 0 0 11000000100000000000001111001
    23100000 ps 0 0 0 11000000100000000000001111001
    23150000 ps 1 0 0 11000000100000000000000100100
    23200000 ps 0 0 0 11000000100000000000000100100
    23250000 ps 1 0 0 11000000100000000000000110000
    23300000 ps 0 0 0 11000000100000000000000110000
    23350000 ps 1 0 0 11000000100000000000000011001
    23400000 ps 0 0 0 11000000100000000000000011001
    23450000 ps 1 0 0 11000000100000000000000010010
    23500000 ps 0 0 0 11000000100000000000000010010
    23550000 ps 1 0 0 11000000100000000000000000010
    23600000 ps 0 0 0 11000000100000000000000000010
    23650000 ps 1 0 0 11000000100000000000001111000
    23700000 ps 0 0 0 11000000100000000000001111000
    23750000 ps 1 0 0 11000000100000000000000000000
    23800000 ps 0 0 0 11000000100000000000000000000
    23850000 ps 1 0 0 11000000100000000000000010000
    23900000 ps 0 0 0 11000000100000000000000010000
    23950000 ps 1 0 0 11000000100000000100001000000
    24000000 ps 0 0 0 11000000100000000100001000000
    24050000 ps 1 0 0 11000000100000000100001111001
    24100000 ps 0 0 0 11000000100000000100001111001
    24150000 ps 1 0 0 11000000100000000100000100100
    24200000 ps 0 0 0 11000000100000000100000100100
    24250000 ps 1 0 0 11000000100000000100000110000
    24300000 ps 0 0 0 11000000100000000100000110000
    24350000 ps 1 0 0 11000000100000000100000011001
    24400000 ps 0 0 0 11000000100000000100000011001
    24450000 ps 1 0 0 11000000100000000100000010010
    24500000 ps 0 0 0 11000000100000000100000010010
    24550000 ps 1 0 0 11000000100000000100000000010
    24600000 ps 0 0 0 11000000100000000100000000010
    24650000 ps 1 0 0 11000000100000000100001111000
    24700000 ps 0 0 0 11000000100000000100001111000
    24750000 ps 1 0 0 11000000100000000100000000000
    24800000 ps 0 0 0 11000000100000000100000000000
    24850000 ps 1 0 0 11000000100000000100000010000
    24900000 ps 0 0 0 11000000100000000100000010000
    24950000 ps 1 0 0 11000000111100110000001000000
