           0 ps U U U U U U U U UUUUUU UUUUUUUUUU UUU
    30000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    30500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    31000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    31500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    32000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    32500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    33000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    33500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    34000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    34500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    35000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    35500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    36000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    36500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    37000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    37500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    38000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    38500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    39000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    39500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    40000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    40500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    41000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    41500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    42000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    42500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    43000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    43500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    44000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    44500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    45000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    45500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    46000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    46500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    47000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    47500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    48000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    48500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    49000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
    49500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
    50000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    50500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    51000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    51500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    52000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    52500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    53000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    53500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    54000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    54500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    55000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    55500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    56000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    56500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    57000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    57500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    58000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    58500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    59000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    59500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    60000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    60500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    61000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    61500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    62000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    62500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    63000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    63500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    64000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    64500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    65000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    65500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    66000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    66500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    67000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    67500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    68000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    68500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    69000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    69500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    70000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    70500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    71000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    71500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    72000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    72500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    73000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    73500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    74000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    74500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    75000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    75500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    76000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    76500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    77000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    77500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    78000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    78500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    79000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    79500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    80000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    80500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    81000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    81500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    82000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    82500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    83000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    83500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    84000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    84500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    85000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    85500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    86000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    86500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    87000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    87500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    88000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    88500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    89000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    89500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    90000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    90500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    91000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    91500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    92000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    92500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    93000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    93500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    94000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    94500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    95000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    95500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    96000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    96500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    97000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    97500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    98000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    98500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
    99000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
    99500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   100000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   100500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   101000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   101500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   102000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   102500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   103000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   103500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   104000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   104500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   105000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   105500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   106000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   106500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   107000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   107500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   108000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   108500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   109000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   109500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   110000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   110500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   111000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   111500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   112000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   112500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   113000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   113500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   114000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   114500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   115000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   115500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   116000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   116500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   117000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   117500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   118000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   118500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   119000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   119500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   120000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   120500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   121000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   121500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   122000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   122500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   123000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   123500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   124000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   124500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   125000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   125500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   126000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   126500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   127000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   127500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   128000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   128500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   129000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   129500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   130000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   130500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   131000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   131500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   132000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   132500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   133000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   133500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   134000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   134500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   135000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   135500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   136000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   136500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   137000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   137500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   138000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   138500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   139000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   139500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   140000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   140500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   141000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   141500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   142000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   142500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   143000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   143500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   144000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   144500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   145000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   145500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   146000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   146500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   147000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   147500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   148000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   148500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   149000000 ps 0 0 1 1 1 1 0 0 000111 0001011010 000
   149500000 ps 1 0 1 1 1 1 0 0 000111 0001011010 000
   150000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   150500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   151000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   151500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   152000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   152500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   153000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   153500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   154000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   154500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   155000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   155500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   156000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   156500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   157000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   157500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   158000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   158500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   159000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   159500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   160000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   160500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   161000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   161500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   162000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   162500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   163000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   163500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   164000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   164500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   165000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   165500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   166000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   166500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   167000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   167500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   168000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   168500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   169000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   169500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   170000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   170500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   171000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   171500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   172000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   172500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   173000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   173500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   174000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   174500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   175000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   175500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   176000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   176500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   177000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   177500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   178000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   178500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   179000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   179500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   180000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   180500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   181000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   181500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   182000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   182500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   183000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   183500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   184000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   184500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   185000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   185500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   186000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   186500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
   187000000 ps 0 0 1 1 1 1 1 0 000111 0001011010 000
   187500000 ps 1 0 1 1 1 1 1 0 000111 0001011010 000
